score,filename,local_path,frames,fps,duration_sec,root_body,dx,dy,displacement_xy,path_len_xy,straightness,speed_mps,joint_std,joint_range,rank_input
0.9996209086849783,g1/ACCAD/Female1Walking_c3d/B3-walk1_poses_120_jpos.npz,C:\Projects\unitree-g1-rl-il-walking\datasets\raw\amass_candidates\g1\ACCAD\Female1Walking_c3d\B3-walk1_poses_120_jpos.npz,229,30.0,7.633333333333334,pelvis,-4.79286003112793,-4.752796173095703,6.749857683016493,6.760108476664922,0.9984836347399136,0.8842608318362217,0.09531769237893194,0.3426376786725274,1
0.8987447900581411,g1/ACCAD/s007/QkWalk1_poses_120_jpos.npz,C:\Projects\unitree-g1-rl-il-walking\datasets\raw\amass_candidates\g1\ACCAD\s007\QkWalk1_poses_120_jpos.npz,77,30.0,2.566666666666667,pelvis,3.698359489440918,2.938077449798584,4.723363421774005,4.734079889418059,0.9977363145755086,1.840271463028833,0.1784822689024152,0.6517340397012645,2
0.3223511843623275,g1/BioMotionLab_NTroje/rub025/0004_normal_walk1_poses_120_jpos.npz,C:\Projects\unitree-g1-rl-il-walking\datasets\raw\amass_candidates\g1\BioMotionLab_NTroje\rub025\0004_normal_walk1_poses_120_jpos.npz,153,30.0,5.1,pelvis,-0.03110269084572792,0.0018115616403520107,0.03115540295713927,0.5210911484486596,0.05978877793240591,0.006108902540615543,0.10808768395587555,0.3950249902133284,74
0.32233698539487565,g1/BioMotionLab_NTroje/rub023/0006_normal_walk2_poses_120_jpos.npz,C:\Projects\unitree-g1-rl-il-walking\datasets\raw\amass_candidates\g1\BioMotionLab_NTroje\rub023\0006_normal_walk2_poses_120_jpos.npz,159,30.0,5.3,pelvis,0.025259017944335938,0.014642029069364071,0.029196010048984217,0.4700465232729226,0.062113022016827404,0.0055086811413177774,0.08569087227615428,0.3161416218198579,68
0.31948425098671857,g1/BioMotionLab_NTroje/rub015/0007_normal_walk3_poses_120_jpos.npz,C:\Projects\unitree-g1-rl-il-walking\datasets\raw\amass_candidates\g1\BioMotionLab_NTroje\rub015\0007_normal_walk3_poses_120_jpos.npz,145,30.0,4.833333333333333,pelvis,0.017544668167829514,0.026505107060074806,0.03178578426569459,0.43208806480288864,0.07356320818580057,0.00657636915841957,0.09443086331864727,0.3268139937828327,42
0.3188150760500912,g1/BioMotionLab_NTroje/rub007/0005_normal_walk1_poses_120_jpos.npz,C:\Projects\unitree-g1-rl-il-walking\datasets\raw\amass_candidates\g1\BioMotionLab_NTroje\rub007\0005_normal_walk1_poses_120_jpos.npz,185,30.0,6.166666666666667,pelvis,-0.02869785763323307,0.009666786529123783,0.030282235626468576,0.6187711710765403,0.0489393123693585,0.004910632804292201,0.09343309764056097,0.3332558746995597,15
0.31742710668998053,g1/BioMotionLab_NTroje/rub015/0005_normal_walk1_poses_120_jpos.npz,C:\Projects\unitree-g1-rl-il-walking\datasets\raw\amass_candidates\g1\BioMotionLab_NTroje\rub015\0005_normal_walk1_poses_120_jpos.npz,159,30.0,5.3,pelvis,-0.02027294784784317,0.009339828044176102,0.022320949852910547,0.4565846637708747,0.048886770897131455,0.004211499972247274,0.09377106738127287,0.3257364897892393,40
0.3146030405850154,g1/BioMotionLab_NTroje/rub023/0005_normal_walk1_poses_120_jpos.npz,C:\Projects\unitree-g1-rl-il-walking\datasets\raw\amass_candidates\g1\BioMotionLab_NTroje\rub023\0005_normal_walk1_poses_120_jpos.npz,162,30.0,5.4,pelvis,-0.018564321100711823,-0.0004653549112845212,0.018570152749069965,0.4502391373174779,0.04124508779869921,0.003438917175753697,0.08959315585061248,0.34229276920187063,67
0.3080372608997273,g1/BioMotionLab_NTroje/rub024/0005_normal_walk1_poses_120_jpos.npz,C:\Projects\unitree-g1-rl-il-walking\datasets\raw\amass_candidates\g1\BioMotionLab_NTroje\rub024\0005_normal_walk1_poses_120_jpos.npz,140,30.0,4.666666666666667,pelvis,-0.027719292789697647,-0.003835315816104412,0.027983367205721414,0.4853259441330731,0.057658914681982386,0.005996435829797446,0.08194419088969536,0.2863526097659407,71
0.3074823907715236,g1/BioMotionLab_NTroje/rub020/0006_normal_walk2_poses_120_jpos.npz,C:\Projects\unitree-g1-rl-il-walking\datasets\raw\amass_candidates\g1\BioMotionLab_NTroje\rub020\0006_normal_walk2_poses_120_jpos.npz,129,30.0,4.3,pelvis,0.04712062329053879,0.012514419853687286,0.04875411617046533,0.5339055892750779,0.09131598760122048,0.011338166551271006,0.11317683837616795,0.3848012398029196,56
